n,sigma_c,c_mod_T,k,label,certifiable
2483225,0.0073008977342396975,70.19999999984122,27932.0,run34,1
2483314,0.007297281874343753,70.29999999984122,27933.0,run34,1
2483403,0.007293666480109096,70.39999999984121,27934.0,run34,1
2483492,0.007290051085874438,70.49999999984121,27935.0,run34,1
2483581,0.007286436157301068,70.5999999998412,27936.0,run34,1
2483670,0.007282821228727698,70.6999999998412,27937.0,run34,1
2483759,0.007279206765815616,70.79999999984119,27938.0,run34,1
2483848,0.00727559276856482,70.89999999984119,27939.0,run34,1
2483937,0.007271978771314025,70.99999999984118,27940.0,run34,1
2484026,0.007268365239724517,71.09999999984117,27941.0,run34,1
2484115,0.007264751708135009,71.19999999984117,27942.0,run34,1
2484204,0.007261138642206788,71.29999999984116,27943.0,run34,1
2484293,0.007257526041939855,71.39999999984116,27944.0,run34,1
2484382,0.007253913441672921,71.49999999984115,27945.0,run34,1
2484471,0.007250301307067275,71.59999999984115,27946.0,run34,1
2484560,0.007246689172461629,71.69999999984114,27947.0,run34,1
2484649,0.00724307750351727,71.79999999984113,27948.0,run34,1
2484738,0.007239466300234199,71.89999999984113,27949.0,run34,1
2484827,0.007235855562612414,71.99999999984112,27950.0,run34,1
2484916,0.007232244359329343,72.09999999984112,27951.0,run34,1
2485005,0.007228634087368846,72.19999999984111,27952.0,run34,1
2485093,0.007306874031201005,71.2999999998411,27953.0,run34,1
2485182,0.007303260499611497,71.3999999998411,27954.0,run34,1
2485271,0.007299647433683276,71.4999999998411,27955.0,run34,1
2485360,0.007296034367755055,71.59999999984109,27956.0,run34,1
2485449,0.007292421767488122,71.69999999984108,27957.0,run34,1
2485538,0.007288809632882476,71.79999999984108,27958.0,run34,1
2485627,0.00728519749827683,71.89999999984107,27959.0,run34,1
2485716,0.007281585829332471,71.99999999984107,27960.0,run34,1
2485805,0.007277974626049399,72.09999999984106,27961.0,run34,1
2485894,0.007274363422766328,72.19999999984105,27962.0,run34,1
2485983,0.007270752219483256,72.29999999984105,27963.0,run34,1
2486072,0.0072671419475227594,72.39999999984104,27964.0,run34,1
2486161,0.0072635316755622625,72.49999999984104,27965.0,run34,1
2486250,0.007259921403601766,72.59999999984103,27966.0,run34,1
2486339,0.007256311597302556,72.69999999984103,27967.0,run34,1
2486428,0.007252702256664634,72.79999999984102,27968.0,run34,1
2486517,0.0072490929160267115,72.89999999984101,27969.0,run34,1
2486606,0.0072454840410500765,72.99999999984101,27970.0,run34,1
2486695,0.007241875631734729,73.099999999841,27971.0,run34,1
2486784,0.007238267222419381,73.199999999841,27972.0,run34,1
2486873,0.007234659278765321,73.29999999984099,27973.0,run34,1
2486962,0.00723105133511126,73.39999999984099,27974.0,run34,1
2487051,0.007227443857118487,73.49999999984098,27975.0,run34,1
2487140,0.007223836844787002,73.59999999984097,27976.0,run34,1
2487228,0.007302009267732501,72.69999999984097,27977.0,run34,1
2487317,0.007298398995772004,72.79999999984096,27978.0,run34,1
2487406,0.0072947891894727945,72.89999999984096,27979.0,run34,1
2487495,0.007291179383173585,72.99999999984095,27980.0,run34,1
2487584,0.007287570042535663,73.09999999984095,27981.0,run34,1
2487673,0.007283961167559028,73.19999999984094,27982.0,run34,1
2487762,0.00728035275824368,73.29999999984094,27983.0,run34,1
2487851,0.007276743883267045,73.39999999984093,27984.0,run34,1
2487940,0.007273135939612985,73.49999999984092,27985.0,run34,1
2488029,0.007269527995958924,73.59999999984092,27986.0,run34,1
2488118,0.007265920517966151,73.69999999984091,27987.0,run34,1
2488207,0.007262313039973378,73.7999999998409,27988.0,run34,1
2488296,0.007258706027641892,73.8999999998409,27989.0,run34,1
2488385,0.007255099480971694,73.9999999998409,27990.0,run34,1
2488474,0.0072514929343014956,74.09999999984089,27991.0,run34,1
2488563,0.007247886853292584,74.19999999984088,27992.0,run34,1
2488652,0.007244281237944961,74.29999999984088,27993.0,run34,1
2488741,0.007240675622597337,74.39999999984087,27994.0,run34,1
2488830,0.007237070007249713,74.49999999984087,27995.0,run34,1
2488919,0.007233465323224664,74.59999999984086,27996.0,run34,1
2489008,0.0072298606391996145,74.69999999984086,27997.0,run34,1
2489097,0.007226255955174565,74.79999999984085,27998.0,run34,1
2489186,0.007222651736810803,74.89999999984084,27999.0,run34,1
2489275,0.007219047984108329,74.99999999984084,28000.0,run34,1
2489364,0.007215444231405854,75.09999999984083,28001.0,run34,1
2489452,0.007293545873835683,74.19999999984083,28002.0,run34,1
2489541,0.007289939327165484,74.29999999984082,28003.0,run34,1
2489630,0.007286332780495286,74.39999999984082,28004.0,run34,1
2489719,0.007282726699486375,74.49999999984081,28005.0,run34,1
2489808,0.007279121084138751,74.5999999998408,28006.0,run34,1
2489897,0.0072755159344524145,74.6999999998408,28007.0,run34,1
2489986,0.007271910784766078,74.7999999998408,28008.0,run34,1
2490075,0.0072683056350797415,74.89999999984079,28009.0,run34,1
2490164,0.00726470141671598,74.99999999984078,28010.0,run34,1
2490253,0.007261097198352218,75.09999999984078,28011.0,run34,1
2490342,0.007257492979988456,75.19999999984077,28012.0,run34,1
2490431,0.007253889227285981,75.29999999984076,28013.0,run34,1
2490520,0.007250285940244794,75.39999999984076,28014.0,run34,1
2490609,0.007246682653203607,75.49999999984075,28015.0,run34,1
2490698,0.007243079831823707,75.59999999984075,28016.0,run34,1
2490787,0.007239477476105094,75.69999999984074,28017.0,run34,1
2490876,0.007235875120386481,75.79999999984074,28018.0,run34,1
2490965,0.007232273230329156,75.89999999984073,28019.0,run34,1
2491054,0.0072286713402718306,75.99999999984072,28020.0,run34,1
2491143,0.0072250699158757925,76.09999999984072,28021.0,run34,1
2491232,0.007221468957141042,76.19999999984071,28022.0,run34,1
